Gene	Rationale	Types_of_recurrent_alterations	Agents_Therapy
EGFR	"Mutations targetable with TKIs (both FDA approved and novel). Other mutations predict resistance to TKIs.  Amplification associated with response to anti-EGFR Abs in colon cancer. Amplification also associated with resistance to TKIs in some cancers.  Rearangement is prognostic in GBM, HNSCC"	Mutation; Amplification; Rearrangement	"Erlotinib, Gefitinib
Novel EGFR Inhibitors"
EPHA3	Alterations may predict sensitivity to dasatinib	Mutation; Amplification	Dasatinib
EPHA5	Alterations may predict sensitivity to dasatinib	Mutation	Dasatinib
ERBB2	Amplifications predict sensitivity to anti-Her2 therapy. <what about mutations?>	Amplification; Mutations	"Trastuzumab, Lapatinib"
ERBB3	Alterations may be sensitive to pertuzumab or novel HER3 inhibitors	Mutations	Pertuzumab
ERBB4	Mutations may predict sensitivity to Lapatinib and other anti-EGF family inhibitors	Mutation	Lapatinib
ERG	"Fusion with TMPRSS2 shown to potentiate sensitivity to PARP inhibitors in vitro (Brenner JC, Cancer Cell, 2011)"	Rearrangement	PARP Inhibitor
ESR1	Amplification may predict ER positivity in breast cancer	Amplification	Hormonal therapy
ETV1	Diagnostic	Rearrangement	
ETV4	Diagnostic	Rearrangement	
ETV5	Diagnostic	Rearrangement	
ETV6	Diagnostic	Rearrangement	
EWSR1	Diagnostic	Rearrangement	
EZH2	"Negative prognostic factor in MDS.  Targetable with EZH2 inhibitors, in development."	Mutations	? HDAC inhibitor?
FBXW7	Mutation or loss may predict sensitivity to MTOR inhibitors.  Mutations or loss may predict resistance to anti-tubulin chemotherapy	Biallelic Inactivation	"MTOR inhibitors
Tubulins"
FGFR1	Amplification predicts resistance to hormonal therapy in breast cancer.  Amplification predicts sensitivity to FGFR inhibitors	Amplification	FGFR Inhibitors
FGFR2	Alterations may predict sensitivity to FGFR inhibitors	Mutations	FGFR Inhibitors
FGFR3	Alterations may predict sensitivity to FGFR inhibitors	Mutations	FGFR Inhibitors
FLT3	"Mutations predict sensitivity to FLT3 inhibitors, sunitinib.  Secondary mutations predict resistance."	Mutation	"Sunitinib, FLT3 inhibitors"
GNA11	Mutations may predict sensitivity to MAPK pathway inhibitors	Mutation	MAPK pathway inhibitors
GNAQ	Mutations may predict sensitivity to MAPK pathway inhibitors	Mutation	MAPK pathway inhibitors
GNAS	"Mutations may be diagnostic of tumors arising in McCune-Albright syndrome, and may be targetable with JAK inhibitors"	Mutation	JAK inhibitors
HRAS	Mutations may predict sensitivity to MAPK pathway inhibitors.  Mutations may predict resistance to TKIs.	Mutation	MAPK pathway inhibitors
IDH1	Prognostic / Diagnostic	Mutation	<in development>
IDH2	Prognostic / Diagnostic	Mutation	<in development>
IGF1R	Amplification may predict senitivity to IGFR1-R inhibitors	Amplification	IFG1-R Inhibitor
JAK2	Mutations may predict sensitivity to JAK2 inhibitors	Mutation	JAK inhibitors
JAK3	Mutations may predict sensitivity to JAK3 inhibitors	Mutation	JAK inhibitors
KDR	Activating mutations may predict sensitivity to specific inhibitors	Mutations	KDR inhibitors
KIT	Mutations targetable with TKIs (both FDA approved and novel). Secondary mutations predict resistance to TKIs.  Amplification also associated with resistance to TKIs.	Mutation; Amplification	"Imatinib, Sunitinib
Novel KIT Inhibitors"
KRAS	"Mutations may predict resistance to anti-EGFR therapies (cetuximab, ant-EGFR TKIs).  Mutations may predict sensitivity to MEK inhibitors.  Mutations may be directly targetable by some therapies (immunotherapies, viruses).  Prognostic in some cancer types."	Mutation	"Cetuximab
MEK inhibitors"
MAP2K1	Mutations predict resistance to RAF- and MEK- inhibitor	Mutation	"Vemurafenib, MEK inhibitors"
MAP2K2	Activating mutations may predict sensitivty to MEK2 inhibitors	Mutations	MEK2 inhibiros
MAP2K4	"Orthologue of Targetable, CGC"	Mutations	MAP2K4 inhibitors
MCL1	Amplification may predict resistance to anti-tubulin chemotherapy	Amplification	Tubulins
MDM2	Amplification may predict sensitivity to Nutlins and MDM2 inhibitors	Amplification	Nutlin
MDM4	Amplification may predict sensitivity to Nutlins and MDM4 inhibitors	Amplification	? Nutlin
MEN1	Prognostic / Diagnostic (also germline)	Biallelic Inactivation	
MET	Amplification may cause resistance to anti-EGFR TKIs.  Amplification may predict sensitivity to MET-inhibitors	Amplification	"Gefitinib, Erlotinib
MET inhibitors"
MITF	Prognostic / Diagnostic (also germline)	Mutation	
MLH1	Prognostic / Diagnostic in colon cancer	Biallelic Inactivation	
MLL	Translocations are prognostic / diagnostic. Alterations may be sensitive to HDAC inhibitors or novel inhibitors in development	Rearrangement	HDAC Inhibitors
MPL	Mutation may predict sensitivity to JAK2 inhibitor	Mutation	JAK2 inhibitors
MSH2	Prognostic / Diagnostic in colon cancer	Biallelic Inactivation	
MSH6	Prognostic / Diagnostic in colon cancer	Biallelic Inactivation	
MTOR	Activating mutations may predict sensitivity to MTOR inhibitors	Mutation	MTOR inhibitors
MYC	Prognostic / Diagnostic 	Amplification	
NF1	Biallelic inactivation may predict sensitivity to PI3K pathway inhibitors (PI3K/AKT/MTOR) and/or MAPK pathway inhibitors (RAF/MEK/ERK).	Biallelic Inactivation	"PI3K/AKT/MTOR inhibitors
RAF/MEK/ERK inhibitors"
NF2	? Biallelic inactivation may predict sensitivity to PI3K pathway inhibitors (PI3K/AKT/MTOR) and/or MAPK pathway inhibitors (RAF/MEK/ERK).	Biallelic Inactivation	"PI3K/AKT/MTOR inhibitors
RAF/MEK/ERK inhibitors"
NFKBIA	Deletion is prognostic in GBM	Deletions	
NKX2-1	Diagnostic	Amplification	
NOTCH1	Activating mutations and rearrangements may predict sensitivity to Notch inhibitors	Mutation; Rearrangement	Notch Inhibitors
NOTCH2	Activating mutations may predict sensitivity to Notch inhibitors	Mutation	Notch Inhibitors
NPM1	Mutations are an indication for transplant in AML	Mutations; Rearrangement	Transplant
NRAS	Mutations predict resistance to RAF- inhibitors	Mutation	"?
Vemurafenib"
NTRK3	"Fusion with ETS factors (in secretory breast cancer, for example) may predict sensitivity to PI3K pathway inhibitors, SRC inhibitors, and/or IGF1-R inhibitors"	Rearrangement	"PI3K/AKT/MTOR inhibitors
Dasatinib or other src inhibitors
IGF1-R inhibitors"
NUT	"Sensitivity to HDAC inhibitors, bromodomain inhibitors"	Rearrangement	"HDAC Inhibitors
Bromodomain inhibitors"
PDGFRA	Mutations predict sensitivity to imatinib	Mutation; Rearrangement	Imatininb
PDGFRB	Alterations predict sensitivity to imatinib	Rearrangement	Imatininb
PIK3CA	"Mutations may predict sensitivity to PI3K pathway inhibitors -- PI3K inhibitors, AKT inhibitors, and MTOR inhibitors.  Mutations may predict resistance to anti-RTK therapy, including cetuximab, anti-EGFR TKIs, and trastuzumab and lapatinib"	Mutations	PI3K/AKT/MTOR inhibitors
PIK3R1	"Mutations may predict sensitivity to PI3K pathway inhibitors -- PI3K inhibitors, AKT inhibitors, and MTOR inhibitors."	Mutations	PI3K/AKT/MTOR inhibitors
PTCH1	Mutations may predict sensitivity to hedgehog inhibitors	? Lookup	Vismodegib
PTEN	"Biallelic inactivation may predict sensitivity to PI3K pathway inhibitors -- PI3K inhibitors, AKT inhibitors, and MTOR inhibitors.  Biallelic inactivation may predict resistance to anti-RTK therapy, including cetuximab, anti-EGFR TKIs, and trastuzumab and lapatinib.  Biallelic inactivation may predict sensitivity to PARP inhibitors"	Biallelic Inactivation	PI3K/AKT/MTOR inhibitors
RAF1	Alterations may predict sensitivity to RAF inhibitors.  Amplification may predict resistance to specific RAF inhibitors (like vemurafenib). 	Mutation; Amplification; Rearrangement	"Sorafenib
RAF inhibitors"
RARA	Transloactions predict sensitivity to ATRA and arsenic	Rearrangement	"ATRA, Arsenic"
RB1	Prognostic / Diagnostic (germline)	Biallelic Inactivation	
RET	Mutations and fusion may predict sensitivity to RET inhibitors	Mutation; Rearrangement	"Sorafenib, vandetinib
Other RET Inhibitors"
ROS1	Fusions Sensitive to Crizotinib	Rearrangement	Crizotinib
RUNX1	Prognostic / Diagnostic	Rearrangement	
SMAD2	Prognostic / Diagnostic in colon cancer	Biallelic Inactivation	
SMAD4	Prognostic / Diagnostic in colon cancer	Biallelic Inactivation	
SMARCA4	Inactivation may predict sensitivity to HDAC inhibitors	Biallelic Inactivation	HDAC
SMARCB1	"Inactivation may predict sensitivity to CDK Inhibitors, Hedgehog Inhibitors, and/or HDAC Inhibitors"	Biallelic Inactivation	"CDK inhibitors
Vismodegib
Hedgehog inhibitors
HDAC inhibitors"
SMO	Mutations may predict sensitivity to hedgehog inhibitors	Mutations	Vismodegib
STK11	Biallelic inactivation may predict sensitivity to MTOR inhibitors.  Biallelic inactiavtion may predict sensitivity to SRC or FAK inhibitors (Cancer Cell 2010)	Biallelic Inactivation	"MTOR inhibitors
Dasatinib
FAK inhibitors"
SYK	Activating mutations may predict sensitivity to Syk inhibitors	Mutation	SYK inhibitors
TET2	Prognostic / Diagnostic in MDS 	Mutations	
TMPRSS2	Prognostic / Diagnostic	Rearrangement	
TP53	Biallelic inactivation or mutation may be prognostic in some tumor types.  They may also predict sensitivity to some p53 specific gene therapies or immunotherapies 	Biallelic Inactivation	Anti-p53 therapies
TSC1	Biallelic inactivation may predict sensitivity to MTOR inhibitors	Biallelic Inactivation	MTOR inhibitors
TSC2	Biallelic inactivation may predict sensitivity to MTOR inhibitors	Biallelic Inactivation	MTOR inhibitors
VHL	Prognostic / Diagnostic (germline)	Biallelic Inactivation	
WT1	Prognostic / Diagnostic (germline)	Biallelic Inactivation	
XPO1	Mutations may predict sensitivity to small molecule selective inhibitors of nuclear export (SINE) 	Mutation	SINE agents
c15orf55	"Sensitivity to HDAC inhibitors, bromodomain inhibitors"	Rearrangement	HDAC inhibitors
