Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DFCI.11.104.06	7	23682736	35293233	372	0.1955
DFCI.11.104.06	7	35673463	64363799	663	0.1202
DFCI.11.104.06	7	64378087	149525074	3615	0.3654
DFCI.11.104.06	7	149545521	150217967	14	-0.0171
DFCI.11.104.06	7	150270150	151921703	206	0.412
DFCI.11.104.06	7	151927114	154751643	39	0.2088
DFCI.11.104.06	7	154754168	156480887	32	0.4076
DFCI.11.104.06	7	156518221	156798569	16	-0.0863
DFCI.11.104.06	7	156961818	158935239	89	0.3202
DFCI.11.104.06	8	117026	6874374	126	0.4742
DFCI.11.104.06	8	6914221	7752294	34	0.2468
DFCI.11.104.06	8	7754134	94821186	2279	0.4708
DFCI.11.104.06	8	94821391	95419950	28	0.1676
DFCI.11.104.06	8	95423545	110520124	542	0.4837
DFCI.11.104.06	8	110520493	126030443	412	0.3971
DFCI.11.104.06	8	126040951	133622509	113	0.4986
DFCI.11.104.06	8	133634936	146279545	555	0.549
DFCI.11.104.06	9	30281	26978263	659	-0.397
DFCI.11.104.06	9	26984559	35078735	324	-0.5368
DFCI.11.104.06	9	35079523	140174415	4026	-0.4708
DFCI.11.104.06	9	140196382	141016451	90	-0.5507
DFCI.11.104.06	X	200983	8503854	137	-0.2091
DFCI.11.104.06	X	8507801	30269656	563	-0.05
DFCI.11.104.06	X	30322942	36162928	65	-0.2609
DFCI.11.104.06	X	37029593	38664753	37	-0.1305
DFCI.11.104.06	X	39923105	46898469	107	0.0356
DFCI.11.104.06	X	46914032	48791887	118	-0.1257
DFCI.11.104.06	X	48792142	49040372	17	0.1924
DFCI.11.104.06	X	49050820	69825369	412	-0.1091
DFCI.11.104.06	X	69830395	70148854	9	-0.5688
DFCI.11.104.06	X	70149849	70356507	25	0.1113
DFCI.11.104.06	X	70357795	118604112	881	-0.117
DFCI.11.104.06	X	118604478	129546824	318	-0.0296
DFCI.11.104.06	X	129630208	153184739	597	-0.1103
DFCI.11.104.06	X	153186264	154003550	188	0.0753
DFCI.11.104.06	X	154007630	155240076	75	-0.0829
DFCI.11.104.06	Y	3447845	16953144	8	-0.4465
